id,uf_id,favorite_cart_id,order_id,unit_price_stamp,date_for_order,product_id,quantity,ts_ordered,name,provider_id,arrived,revised,shop_quantity
232472,20,,1061,0.14,2018-04-05,83,21,"2018-04-02 13:02:50",Transporte,2,1,0,
232470,11,,1061,0.14,2018-04-05,83,4,"2018-04-02 13:02:50",Transporte,2,1,0,
232466,6,,1061,0.14,2018-04-05,83,15,"2018-04-02 13:02:50",Transporte,2,1,0,
231814,8,,1061,3.04,2018-04-05,201,1,"2018-04-01 10:20:10","Poma Gala",2,1,0,
231445,21,,1061,3.04,2018-04-05,201,1,"2018-03-29 15:15:29","Poma Gala",2,1,0,
231958,4,,1061,1.42,2018-04-05,404,0.5,"2018-04-01 11:47:12","Ceba seca ",2,1,0,
231452,21,,1061,1.42,2018-04-05,404,2,"2018-03-29 15:15:29","Ceba seca ",2,1,0,
231822,8,,1061,1.42,2018-04-05,404,1,"2018-04-01 10:20:10","Ceba seca ",2,1,0,
231812,8,,1061,5.63,2018-04-05,412,1,"2018-04-01 10:20:10",Tomacó,2,1,0,
231965,20,,1061,5.63,2018-04-05,412,0.5,"2018-04-01 12:16:33",Tomacó,2,1,0,
231645,15,,1061,5.63,2018-04-05,412,1,"2018-04-01 07:26:03",Tomacó,2,1,0,
232173,10,,1061,5.63,2018-04-05,412,0.5,"2018-04-01 14:47:51",Tomacó,2,1,0,
231443,21,,1061,5.63,2018-04-05,412,0.5,"2018-03-29 15:15:29",Tomacó,2,1,0,
231951,4,,1061,1.42,2018-04-05,425,1,"2018-04-01 11:47:12","Patata shanon",2,1,0,
231815,8,,1061,1.42,2018-04-05,425,1,"2018-04-01 10:20:10","Patata shanon",2,1,0,
232176,10,,1061,8,2018-04-05,479,1,"2018-04-01 14:47:51",Nous,2,1,0,
231449,21,,1061,1.14,2018-04-05,485,1,"2018-03-29 15:15:29",Fonoll,2,1,0,
232347,6,,1061,2.59,2018-04-05,486,2,"2018-04-01 17:23:00","Moniato ",2,1,0,
231818,8,,1061,2.59,2018-04-05,486,1,"2018-04-01 10:20:10","Moniato ",2,1,0,
